Customer_ID,Membership_Type,Payment_Method,Monthly_Spend,Churn,Signup_Date,Last_Activity_Date,Region,Signup_Channel,Account_Notes,Spend_Bucket
C0001,Basic,PayPal,47.01,0,2023-07-11,2023-11-25,APAC,Web,Promo applied at checkout,Low
C0002,Gold,Credit Card,183.04,0,2023-03-22,2023-12-08,EMEA,Web,Discount expired this month,High
C0003,Silver,PayPal,108.76,0,2023-04-02,2024-10-15,AMER,Mobile,Promo applied at checkout,Medium
C0004,Gold,Credit Card,211.52,0,2023-12-04,2025-04-23,EMEA,Mobile,Discount expired this month,High
C0005,Platinum,Crypto,372.01,0,2023-09-27,2024-02-27,AMER,Web,Used referral code,High
C0006,Silver,Credit Card,117.23,0,2023-11-29,2025-06-21,APAC,Mobile,Promo applied at checkout,Medium
C0007,Silver,Credit Card,101.85,0,2023-06-11,2025-01-06,AMER,Web,No issues reported,Medium
C0008,Basic,Credit Card,53.31,0,2023-03-13,2023-12-09,AMER,Web,Used referral code,Low
C0009,Basic,Credit Card,23.06,1,2023-12-05,2024-05-27,EMEA,Partner,Upgraded last quarter,Low
C0010,Silver,Bank Transfer,26.45,1,2023-10-08,2023-10-30,EMEA,Web,No issues reported,Low
C0011,Gold,Credit Card,95.96,0,2023-04-20,2024-09-03,EMEA,Mobile,Requested invoice via email,Medium
C0012,Gold,Bank Transfer,215.72,0,2023-04-03,2023-06-02,EMEA,Sales,Contacted support about payment,High
C0013,Silver,Credit Card,73.04,1,2023-06-26,2024-03-05,AMER,Sales,No issues reported,Low
C0014,Basic,Bank Transfer,50.78,0,2023-09-11,2024-10-14,AMER,Mobile,Discount expired this month,Low
C0015,Basic,PayPal,46.75,1,2023-10-29,2024-03-20,AMER,Mobile,Contacted support about payment,Low
C0016,Platinum,Bank Transfer,200.33,0,2023-08-25,2024-12-30,AMER,Web,Requested invoice via email,High
C0017,Basic,Credit Card,37.97,0,2023-05-06,2024-07-06,AMER,Web,Upgraded last quarter,Low
C0018,Silver,Bank Transfer,51.03,0,2023-02-04,2023-11-07,EMEA,Web,Requested invoice via email,Low
C0019,Platinum,Crypto,471.4,0,2023-05-21,2023-11-28,APAC,Mobile,Discount expired this month,High
C0020,Basic,Credit Card,43.47,1,2023-11-27,2024-02-26,EMEA,Web,Contacted support about payment,Low
